iter	Passed	Remaining
0	1	170
1	2	142
2	4	145
3	6	150
4	8	156
5	9	154
6	11	152
7	13	153
8	15	154
9	18	163
10	19	161
11	22	163
12	25	168
13	27	168
14	29	169
15	31	164
16	33	161
17	35	160
18	37	160
19	40	160
20	42	159
21	44	159
22	47	157
23	50	158
24	51	154
25	52	150
26	54	146
27	55	142
28	57	140
29	58	137
30	60	134
31	61	131
32	63	129
33	65	127
34	67	125
35	69	123
36	71	121
37	72	119
38	74	116
39	76	114
40	78	112
41	80	111
42	82	108
43	83	106
44	85	104
45	87	102
46	88	100
47	90	98
48	92	96
49	94	94
50	95	92
51	97	89
52	98	87
53	100	85
54	101	83
55	103	81
56	104	78
57	106	76
58	107	74
59	108	72
60	109	69
61	111	68
62	112	66
63	114	64
64	116	62
65	117	60
66	119	58
67	121	57
68	122	54
69	123	52
70	124	50
71	126	49
72	127	47
73	129	45
74	131	43
75	132	41
76	133	39
77	135	38
78	137	36
79	138	34
80	139	32
81	140	30
82	142	29
83	143	27
84	144	25
85	146	23
86	147	22
87	148	20
88	150	18
89	151	16
90	153	15
91	154	13
92	155	11
93	157	10
94	158	8
95	159	6
96	161	4
97	162	3
98	163	1
99	164	0
